Brand,Tier,SKUs,AvgMSRP,AvgPublicPrice,AvgDistPrice,EstimatedMarginPct,MAPRestricted,RecommendedPush,Notes
SAILUN,Budget,361,283.83,255.45,204.36,30-35,No,YES,"Highest-margin volume brand. 361 SKUs, PTPA-certified. Push as primary recommendation."
ILINK,Budget,299,144.01,129.61,103.68,35-40,No,YES,"Cheapest option, biggest margin %. Dominant winter tire brand."
KUMHO,Mid-Tier,515,247.57,222.81,178.25,18-22,Moderate,YES,"Strong value brand, large catalog, good all-weather selection."
LAUFENN,Budget,263,213.44,192.10,153.68,20-25,Light,YES,"Hankook sub-brand. Less MAP pressure. Upsell from ILINK."
MIRAGE,Budget,185,206.77,186.09,148.87,30-38,No,YES,"Chinese budget brand (ZC Rubber). Solid margins, no restrictions."
HANKOOK,Mid-Tier,714,343.89,309.50,247.60,15-20,Yes,Moderate,"Largest SKU count. Good brand recognition. MAP limits discount."
NEXEN,Mid-Tier,184,308.80,277.92,222.33,15-22,Moderate,Moderate,"Korean brand, growing reputation, moderate MAP enforcement."
MICHELIN,Premium,526,404.99,364.49,291.59,5-10,Yes-Strict,No,"Only ~5% markup allowed. Keep for credibility, don't push."
CONTINENTAL,Premium,255,485.79,437.21,349.77,8-12,Yes,No,"Strong all-season. MAP enforced via Excel spreadsheets."
YOKOHAMA,Mid-Tier,243,385.82,347.24,277.79,12-18,Yes,Moderate,"Performance-oriented. MAP exists but less aggressive."
BRIDGESTONE,Premium,200,654.18,588.76,471.01,8-12,Yes,No,"Highest avg MSRP. Profit comes from high price base."
PIRELLI,Premium,198,728.38,655.54,524.43,8-12,Yes,Low,"Highest MSRP. Best absolute $/tire margin among premiums."
GOODYEAR,Premium,164,593.97,534.57,427.66,8-12,Yes,No,"Strong brand, MAP enforced. Fleet/commercial potential."
NOKIAN,Premium,115,516.36,464.72,371.78,10-15,Moderate,Low,"Finnish brand. Dominant winter/all-weather reputation in Canada."
FIRESTONE,Mid-Tier,96,438.07,394.27,315.41,12-18,Moderate,Moderate,"Bridgestone sub-brand. More pricing flexibility than parent."
BFGOODRICH,Mid-Tier,95,372.34,335.10,268.08,12-18,Moderate,Moderate,"Michelin-owned mid-tier. Strong off-road/LT segment."
UNIROYAL,Mid-Tier,69,207.28,186.55,149.24,18-25,Light,Moderate,"Michelin budget brand. Good entry-level margins."
TRANSMATE,Budget,54,174.81,157.33,125.87,28-35,No,Moderate,"All-season only. No MAP. Small but profitable."
TOYO,Mid-Tier,34,400.21,360.19,288.15,15-20,Moderate,Moderate,"Niche but loyal following. Good truck/SUV margins."
TRIANGLE,Budget,30,233.83,210.45,168.36,25-35,No,Moderate,"Chinese brand, improving quality. No MAP."
GENERAL,Mid-Tier,23,358.13,322.32,257.85,15-20,Moderate,Low,"Continental sub-brand. Small catalog."
FALKEN,Mid-Tier,16,338.94,305.04,244.03,15-22,Light,Low,"Sumitomo-owned. Performance segment. Small catalog."
DUNLOP,Mid-Tier,15,554.26,498.84,399.07,12-18,Moderate,Low,"High MSRP. Small catalog."
OVATION,Budget,15,261.93,235.74,188.59,28-35,No,Low,"Small catalog but good margins. No MAP."
COOPER,Mid-Tier,15,413.90,372.51,298.00,15-20,Moderate,Low,"Goodyear-owned. Strong truck/SUV."
SURETRAC,Budget,13,197.69,177.92,142.34,28-35,No,Low,"All-season only. No MAP. Small catalog."
IRONMAN,Budget,11,213.09,191.78,153.43,28-38,No,Low,"Hercules sub-brand. Small catalog."
WESTLAKE,Budget,11,200.04,180.03,144.03,28-38,No,Low,"ZC Rubber (China's largest). Small catalog but known brand."
CARLISLE,Budget,11,187.11,168.40,134.72,25-32,No,Low,"Specialty/trailer tires."
MINERVA,Budget,7,279.96,251.97,201.57,25-32,No,Low,"Very small catalog."
HERCULES,Mid-Tier,4,323.04,290.74,232.59,15-22,Light,Low,"Parent of Ironman. Tiny catalog."
MAXTREK,Budget,3,292.92,263.63,210.90,25-35,No,Low,"Winter only. Tiny catalog."
GISLAVED,Mid-Tier,2,266.00,239.40,191.52,15-20,Light,Low,"Continental sub-brand. Winter only."
ANTARES,Budget,1,220.71,198.64,158.92,28-35,No,No,"Single SKU."
